"question","dv","term","n","estimate","conf.low","conf.high","p.value","sig","direction","model"
"prio_pref_logit","Healthcare access","age18_34_bin",2059,-0.072,-0.131,-0.012,0.018,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","age55plus_bin",2059,-0.001,-0.055,0.054,0.983,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","alberta_bin",2059,-0.004,-0.058,0.05,0.892,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","children_bin",2059,0.006,-0.037,0.05,0.773,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","employ_fulltime_bin",2059,0.005,-0.04,0.05,0.841,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_define_QC_first_bin",2059,0.014,-0.068,0.095,0.744,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_right_num",2059,-0.102,-0.205,0.001,0.053,".","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_vote_fed_left",2059,-0.044,-0.146,0.057,0.39,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ideo_vote_prov_left",2059,0.004,-0.055,0.064,0.883,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","incomeHigh_bin",2059,-0.057,-0.111,-0.002,0.041,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","quebec_bin",2059,0.02,-0.041,0.082,0.513,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","region_eastcoast_bin",2059,0.049,-0.003,0.102,0.066,".","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","ses_male_bin",2059,-0.074,-0.115,-0.034,0,"***","Negative","Logit AME"
"prio_pref_logit","Healthcare access","trust_inst_fed_bin",2059,-0.009,-0.06,0.042,0.734,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","trust_inst_prov_bin",2059,-0.056,-0.109,-0.002,0.042,"*","Negative","Logit AME"
"prio_pref_logit","Healthcare access","univ_educ_bin",2059,-0.008,-0.048,0.033,0.713,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PCC_bin",2059,-0.019,-0.079,0.041,0.529,"","No clear effect","Logit AME"
"prio_pref_logit","Healthcare access","vote_PLC_bin",2059,0.002,-0.053,0.058,0.934,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age18_34_bin",2059,-0.032,-0.084,0.021,0.237,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","age55plus_bin",2059,0.035,-0.015,0.085,0.166,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","alberta_bin",2059,-0.031,-0.081,0.019,0.222,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","children_bin",2059,-0.031,-0.073,0.011,0.146,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","employ_fulltime_bin",2059,0.041,-0.002,0.084,0.063,".","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_define_QC_first_bin",2059,-0.015,-0.086,0.057,0.684,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_right_num",2059,0.081,-0.016,0.178,0.102,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_vote_fed_left",2059,-0.048,-0.142,0.046,0.317,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","ideo_vote_prov_left",2059,0.009,-0.048,0.065,0.761,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","incomeHigh_bin",2059,-0.027,-0.078,0.023,0.288,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","quebec_bin",2059,0.012,-0.046,0.071,0.673,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","region_eastcoast_bin",2059,-0.051,-0.1,-0.003,0.038,"*","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","ses_male_bin",2059,-0.017,-0.055,0.021,0.379,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","trust_inst_fed_bin",2059,0.006,-0.044,0.057,0.802,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","trust_inst_prov_bin",2059,0.029,-0.024,0.081,0.283,"","No clear effect","Logit AME"
"prio_pref_logit","Home care for seniors","univ_educ_bin",2059,-0.093,-0.131,-0.055,0,"***","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","vote_PCC_bin",2059,-0.059,-0.109,-0.01,0.019,"*","Negative","Logit AME"
"prio_pref_logit","Home care for seniors","vote_PLC_bin",2059,-0.028,-0.079,0.022,0.271,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","age18_34_bin",2059,0.074,0.032,0.117,0.001,"**","Positive","Logit AME"
"prio_pref_logit","Subsidized child care","age55plus_bin",2059,-0.088,-0.124,-0.052,0,"***","Negative","Logit AME"
"prio_pref_logit","Subsidized child care","alberta_bin",2059,-0.03,-0.067,0.008,0.12,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","children_bin",2059,0.008,-0.024,0.039,0.637,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","employ_fulltime_bin",2059,0.029,-0.004,0.061,0.082,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ideo_define_QC_first_bin",2059,-0.008,-0.065,0.048,0.775,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ideo_right_num",2059,-0.055,-0.133,0.023,0.167,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ideo_vote_fed_left",2059,-0.013,-0.078,0.052,0.696,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ideo_vote_prov_left",2059,-0.023,-0.066,0.02,0.292,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","incomeHigh_bin",2059,-0.033,-0.068,0.002,0.066,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","quebec_bin",2059,-0.016,-0.06,0.027,0.46,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","region_eastcoast_bin",2059,-0.021,-0.058,0.017,0.286,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","ses_male_bin",2059,0.025,-0.005,0.054,0.097,".","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","trust_inst_fed_bin",2059,-0.018,-0.057,0.021,0.359,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","trust_inst_prov_bin",2059,-0.013,-0.052,0.026,0.511,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","univ_educ_bin",2059,-0.013,-0.043,0.017,0.402,"","No clear effect","Logit AME"
"prio_pref_logit","Subsidized child care","vote_PCC_bin",2059,-0.044,-0.081,-0.008,0.018,"*","Negative","Logit AME"
"prio_pref_logit","Subsidized child care","vote_PLC_bin",2059,-0.029,-0.066,0.008,0.123,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age18_34_bin",2059,0.025,-0.027,0.077,0.343,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","age55plus_bin",2059,-0.023,-0.071,0.026,0.362,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","alberta_bin",2059,-0.02,-0.066,0.026,0.398,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","children_bin",2059,0.007,-0.033,0.047,0.731,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","employ_fulltime_bin",2059,0.06,0.016,0.103,0.007,"**","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_define_QC_first_bin",2059,-0.038,-0.119,0.043,0.353,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_right_num",2059,0.117,0.024,0.21,0.013,"*","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_vote_fed_left",2059,-0.052,-0.149,0.046,0.297,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ideo_vote_prov_left",2059,-0.067,-0.121,-0.013,0.014,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","incomeHigh_bin",2059,0.019,-0.031,0.068,0.457,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","quebec_bin",2059,-0.108,-0.158,-0.059,0,"***","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","region_eastcoast_bin",2059,-0.049,-0.094,-0.004,0.031,"*","Negative","Logit AME"
"prio_pref_logit","Support businesses and economic growth","ses_male_bin",2059,0.08,0.042,0.117,0,"***","Positive","Logit AME"
"prio_pref_logit","Support businesses and economic growth","trust_inst_fed_bin",2059,0.038,-0.012,0.088,0.14,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","trust_inst_prov_bin",2059,-0.001,-0.049,0.047,0.952,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","univ_educ_bin",2059,0.013,-0.025,0.05,0.505,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PCC_bin",2059,0.007,-0.046,0.059,0.807,"","No clear effect","Logit AME"
"prio_pref_logit","Support businesses and economic growth","vote_PLC_bin",2059,0.016,-0.039,0.072,0.562,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age18_34_bin",2058,0.033,-0.015,0.08,0.177,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","age55plus_bin",2058,-0.04,-0.083,0.003,0.069,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","alberta_bin",2058,-0.04,-0.084,0.003,0.07,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","children_bin",2058,-0.045,-0.081,-0.01,0.012,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","employ_fulltime_bin",2058,0.036,-0.001,0.073,0.057,".","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_define_QC_first_bin",2058,0.048,-0.021,0.118,0.173,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_right_num",2058,-0.109,-0.195,-0.022,0.014,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_vote_fed_left",2058,-0.005,-0.077,0.067,0.89,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","ideo_vote_prov_left",2058,0.089,0.042,0.135,0,"***","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","incomeHigh_bin",2058,-0.015,-0.056,0.027,0.486,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","quebec_bin",2058,-0.01,-0.058,0.039,0.699,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","region_eastcoast_bin",2058,-0.045,-0.086,-0.003,0.035,"*","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","ses_male_bin",2058,0.053,0.02,0.086,0.002,"**","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","trust_inst_fed_bin",2058,0.004,-0.038,0.047,0.836,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","trust_inst_prov_bin",2058,0.029,-0.018,0.075,0.224,"","No clear effect","Logit AME"
"prio_pref_logit","Fight against climate change","univ_educ_bin",2058,0.038,0.004,0.071,0.029,"*","Positive","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PCC_bin",2058,-0.108,-0.148,-0.068,0,"***","Negative","Logit AME"
"prio_pref_logit","Fight against climate change","vote_PLC_bin",2058,-0.044,-0.083,-0.005,0.029,"*","Negative","Logit AME"
"prio_pref_lpm","Healthcare access","age18_34_bin",2059,-0.07,-0.127,-0.014,0.015,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","age55plus_bin",2059,0,-0.053,0.053,0.999,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","alberta_bin",2059,-0.004,-0.06,0.052,0.889,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","children_bin",2059,0.006,-0.037,0.05,0.781,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","employ_fulltime_bin",2059,0.004,-0.041,0.049,0.86,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_define_QC_first_bin",2059,0.013,-0.068,0.095,0.746,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_right_num",2059,-0.103,-0.206,0,0.05,".","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_vote_fed_left",2059,-0.043,-0.143,0.057,0.396,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ideo_vote_prov_left",2059,0.004,-0.055,0.064,0.888,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","incomeHigh_bin",2059,-0.057,-0.112,-0.002,0.044,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","quebec_bin",2059,0.022,-0.042,0.085,0.508,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","region_eastcoast_bin",2059,0.05,-0.005,0.104,0.072,".","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","ses_male_bin",2059,-0.074,-0.114,-0.034,0,"***","Negative","LPM"
"prio_pref_lpm","Healthcare access","trust_inst_fed_bin",2059,-0.008,-0.061,0.044,0.757,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","trust_inst_prov_bin",2059,-0.057,-0.112,-0.003,0.038,"*","Negative","LPM"
"prio_pref_lpm","Healthcare access","univ_educ_bin",2059,-0.008,-0.048,0.032,0.707,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","vote_PCC_bin",2059,-0.019,-0.078,0.039,0.517,"","No clear effect","LPM"
"prio_pref_lpm","Healthcare access","vote_PLC_bin",2059,0.003,-0.052,0.058,0.917,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","age18_34_bin",2059,-0.031,-0.082,0.021,0.242,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","age55plus_bin",2059,0.036,-0.014,0.087,0.158,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","alberta_bin",2059,-0.032,-0.084,0.02,0.234,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","children_bin",2059,-0.031,-0.073,0.01,0.142,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","employ_fulltime_bin",2059,0.042,-0.001,0.085,0.056,".","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_define_QC_first_bin",2059,-0.015,-0.096,0.066,0.712,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_right_num",2059,0.08,-0.017,0.177,0.104,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_vote_fed_left",2059,-0.05,-0.146,0.046,0.305,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","ideo_vote_prov_left",2059,0.008,-0.047,0.063,0.766,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","incomeHigh_bin",2059,-0.026,-0.075,0.022,0.282,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","quebec_bin",2059,0.014,-0.048,0.076,0.655,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","region_eastcoast_bin",2059,-0.053,-0.105,-0.002,0.043,"*","Negative","LPM"
"prio_pref_lpm","Home care for seniors","ses_male_bin",2059,-0.019,-0.057,0.02,0.344,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","trust_inst_fed_bin",2059,0.007,-0.043,0.057,0.788,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","trust_inst_prov_bin",2059,0.029,-0.022,0.08,0.266,"","No clear effect","LPM"
"prio_pref_lpm","Home care for seniors","univ_educ_bin",2059,-0.093,-0.131,-0.055,0,"***","Negative","LPM"
"prio_pref_lpm","Home care for seniors","vote_PCC_bin",2059,-0.064,-0.12,-0.008,0.026,"*","Negative","LPM"
"prio_pref_lpm","Home care for seniors","vote_PLC_bin",2059,-0.029,-0.08,0.022,0.259,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","age18_34_bin",2059,0.095,0.044,0.145,0,"***","Positive","LPM"
"prio_pref_lpm","Subsidized child care","age55plus_bin",2059,-0.077,-0.114,-0.04,0,"***","Negative","LPM"
"prio_pref_lpm","Subsidized child care","alberta_bin",2059,-0.029,-0.07,0.011,0.158,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","children_bin",2059,0.006,-0.028,0.041,0.717,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","employ_fulltime_bin",2059,0.03,-0.005,0.065,0.091,".","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_define_QC_first_bin",2059,-0.01,-0.071,0.051,0.742,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_right_num",2059,-0.059,-0.143,0.025,0.171,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_vote_fed_left",2059,-0.027,-0.111,0.057,0.532,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ideo_vote_prov_left",2059,-0.023,-0.064,0.019,0.285,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","incomeHigh_bin",2059,-0.036,-0.074,0.002,0.061,".","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","quebec_bin",2059,-0.019,-0.067,0.029,0.438,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","region_eastcoast_bin",2059,-0.02,-0.062,0.021,0.331,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","ses_male_bin",2059,0.025,-0.005,0.054,0.098,".","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","trust_inst_fed_bin",2059,-0.019,-0.057,0.019,0.335,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","trust_inst_prov_bin",2059,-0.013,-0.05,0.025,0.505,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","univ_educ_bin",2059,-0.013,-0.043,0.016,0.382,"","No clear effect","LPM"
"prio_pref_lpm","Subsidized child care","vote_PCC_bin",2059,-0.055,-0.103,-0.008,0.021,"*","Negative","LPM"
"prio_pref_lpm","Subsidized child care","vote_PLC_bin",2059,-0.033,-0.076,0.01,0.13,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","age18_34_bin",2059,0.028,-0.026,0.081,0.312,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","age55plus_bin",2059,-0.022,-0.072,0.027,0.379,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","alberta_bin",2059,-0.022,-0.077,0.032,0.415,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","children_bin",2059,0.008,-0.034,0.049,0.72,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","employ_fulltime_bin",2059,0.062,0.019,0.105,0.005,"**","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_define_QC_first_bin",2059,-0.024,-0.088,0.039,0.454,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_right_num",2059,0.122,0.028,0.216,0.011,"*","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_vote_fed_left",2059,-0.045,-0.135,0.044,0.318,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","ideo_vote_prov_left",2059,-0.067,-0.119,-0.016,0.011,"*","Negative","LPM"
"prio_pref_lpm","Support businesses and economic growth","incomeHigh_bin",2059,0.017,-0.035,0.069,0.527,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","quebec_bin",2059,-0.12,-0.177,-0.063,0,"***","Negative","LPM"
"prio_pref_lpm","Support businesses and economic growth","region_eastcoast_bin",2059,-0.057,-0.109,-0.005,0.031,"*","Negative","LPM"
"prio_pref_lpm","Support businesses and economic growth","ses_male_bin",2059,0.08,0.042,0.117,0,"***","Positive","LPM"
"prio_pref_lpm","Support businesses and economic growth","trust_inst_fed_bin",2059,0.037,-0.013,0.087,0.144,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","trust_inst_prov_bin",2059,0.001,-0.05,0.051,0.981,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","univ_educ_bin",2059,0.015,-0.022,0.053,0.42,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","vote_PCC_bin",2059,0.008,-0.047,0.063,0.773,"","No clear effect","LPM"
"prio_pref_lpm","Support businesses and economic growth","vote_PLC_bin",2059,0.012,-0.035,0.06,0.62,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","age18_34_bin",2058,0.036,-0.014,0.087,0.158,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","age55plus_bin",2058,-0.042,-0.085,0.001,0.055,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","alberta_bin",2058,-0.042,-0.087,0.004,0.073,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","children_bin",2058,-0.047,-0.084,-0.01,0.012,"*","Negative","LPM"
"prio_pref_lpm","Fight against climate change","employ_fulltime_bin",2058,0.033,-0.004,0.07,0.081,".","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ideo_define_QC_first_bin",2058,0.054,-0.022,0.129,0.165,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ideo_right_num",2058,-0.114,-0.202,-0.026,0.011,"*","Negative","LPM"
"prio_pref_lpm","Fight against climate change","ideo_vote_fed_left",2058,0.019,-0.073,0.11,0.691,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","ideo_vote_prov_left",2058,0.095,0.045,0.144,0,"***","Positive","LPM"
"prio_pref_lpm","Fight against climate change","incomeHigh_bin",2058,-0.016,-0.06,0.029,0.487,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","quebec_bin",2058,-0.011,-0.065,0.042,0.684,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","region_eastcoast_bin",2058,-0.047,-0.092,-0.002,0.04,"*","Negative","LPM"
"prio_pref_lpm","Fight against climate change","ses_male_bin",2058,0.053,0.02,0.087,0.002,"**","Positive","LPM"
"prio_pref_lpm","Fight against climate change","trust_inst_fed_bin",2058,0.002,-0.043,0.048,0.926,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","trust_inst_prov_bin",2058,0.029,-0.015,0.074,0.198,"","No clear effect","LPM"
"prio_pref_lpm","Fight against climate change","univ_educ_bin",2058,0.038,0.004,0.071,0.026,"*","Positive","LPM"
"prio_pref_lpm","Fight against climate change","vote_PCC_bin",2058,-0.099,-0.146,-0.053,0,"***","Negative","LPM"
"prio_pref_lpm","Fight against climate change","vote_PLC_bin",2058,-0.059,-0.11,-0.007,0.025,"*","Negative","LPM"
